Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,PrgC,PrgP,PrgR,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG 
1,Princess Ademiluyi,eng ENG,"MF,FW",West Ham,17,2006,11,0,87,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,11,0,1.03,1.03,0,1.03,0.03,0,0.03,0.03,0.03 
2,Michelle Agyemang,eng ENG,FW,Arsenal,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
3,Alyssa Aherne,eng ENG,MF,Everton,19,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
4,Olga Ahtinen,fi FIN,MF,Tottenham,,,16,10,923,10.3,1,2,3,1,0,0,4,0,0.4,0.4,1.2,1.6,11,71,12,0.1,0.2,0.29,0.1,0.29,0.04,0.12,0.15,0.04,0.15 
5,Asmita Ale,eng ENG,DF,Leicester City,21,2001,6,4,296,3.3,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,3,13,5,0,0,0,0,0,0.06,0,0.06,0.06,0.06 
6,Asmita Ale,eng ENG,"MF,DF",Tottenham,21,2001,5,1,131,1.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,8,8,0,0,0,0,0,0,0.1,0.1,0,0.1 
7,Laia Aleixandri,es ESP,DF,Manchester City,22,2000,21,21,"1,810",20.1,1,3,4,1,0,0,3,1,1.1,0.9,1.4,2.3,27,148,16,0.05,0.15,0.2,0.05,0.2,0.06,0.07,0.12,0.04,0.11 
8,Filippa Angeldahl,se SWE,MF,Manchester City,26,1997,13,8,666,7.4,0,0,0,0,0,0,2,0,1.3,1.3,0.8,2.1,8,55,57,0,0,0,0,0,0.18,0.1,0.28,0.18,0.28 
9,Mackenzie Arnold,au AUS,GK,West Ham,29,1994,19,19,"1,710",19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0 
10,Brooke Aspin,eng ENG,DF,Bristol City,18,2005,17,16,"1,368",15.2,2,0,2,2,0,0,3,0,0.7,0.7,0,0.8,0,18,1,0.13,0,0.13,0.13,0.13,0.05,0,0.05,0.05,0.05 
11,Viviane Asseyi,fr FRA,"FW,MF",West Ham,29,1993,22,22,"1,902",21.1,6,1,7,3,3,3,4,0,8.3,5.9,0.9,6.8,40,53,121,0.28,0.05,0.33,0.14,0.19,0.39,0.04,0.43,0.28,0.32 
12,Izzy Atkinson,ie IRL,"MF,FW",West Ham,22,2001,7,1,172,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,7,5,17,0,0,0,0,0,0.16,0,0.16,0.16,0.16 
13,Rosella Ayane,ma MAR,"FW,MF",Tottenham,27,1996,10,0,211,2.3,0,0,0,0,0,0,0,0,0.6,0.6,0.5,1.1,6,4,22,0,0,0,0,0,0.24,0.2,0.45,0.24,0.45 
14,Sophie Baggaley,eng ENG,GK,Brighton,26,1996,19,19,"1,710",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
15,Ava Baker,eng ENG,"MF,FW",Leicester City,17,2006,8,0,99,1.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0,2,13,0,0,0,0,0,0.34,0.09,0.42,0.34,0.42 
16,Molly Bartrip,eng ENG,DF,Tottenham,27,1996,18,16,"1,498",16.6,0,0,0,0,0,0,4,0,0,0,0.1,0.1,0,42,1,0,0,0,0,0,0,0,0,0,0 
17,Jennifer Beattie,sct SCO,DF,Arsenal,32,1991,3,2,172,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,4,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06 
18,Agnes Beever-Jones,eng ENG,"FW,MF",Chelsea,20,2003,17,6,689,7.7,11,2,13,11,0,0,0,0,6.4,6.4,1.1,7.6,30,18,101,1.44,0.26,1.7,1.44,1.7,0.84,0.15,0.99,0.84,0.99 
19,Hanna Bennison,se SWE,MF,Everton,20,2002,20,16,"1,328",14.8,1,1,2,1,0,0,1,0,0.5,0.5,1.1,1.6,25,56,34,0.07,0.07,0.14,0.07,0.14,0.03,0.08,0.11,0.03,0.11 
20,Francesca Bentley,eng ENG,GK,Bristol City,22,2001,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
21,Ann-Katrin Berger,de GER,GK,Chelsea,32,1990,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
22,Marika Bergman-Lundin,se SWE,MF,West Ham,24,1999,8,0,138,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,1,1,0,0,0,0,0,0.07,0,0.07,0.07,0.07 
23,Guro Bergsvand,no NOR,DF,Brighton,29,1994,22,22,"1,980",22,1,0,1,1,0,0,2,0,0.8,0.8,0.2,0.9,10,53,4,0.05,0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04 
24,Emma Bissell,eng ENG,"FW,MF",Everton,21,2001,22,9,874,9.7,1,0,1,1,0,0,0,0,1.1,1.1,0,1.1,20,15,68,0.1,0,0.1,0.1,0.1,0.11,0,0.12,0.11,0.12 
25,Nathalie Björn,se SWE,DF,Chelsea,26,1997,9,8,734,8.2,1,2,3,1,0,0,0,0,0.3,0.3,0.4,0.8,4,40,2,0.12,0.25,0.37,0.12,0.37,0.04,0.05,0.09,0.04,0.09 
26,Nathalie Björn,se SWE,DF,Everton,26,1997,8,6,559,6.2,1,0,1,0,1,1,1,0,1,0.2,0.2,0.4,1,19,7,0.16,0,0.16,0,0,0.16,0.03,0.2,0.03,0.07 
27,Stina Blackstenius,se SWE,"FW,MF",Arsenal,27,1996,19,7,672,7.5,7,0,7,7,0,0,0,0,8.3,8.3,1.1,9.4,21,17,69,0.94,0,0.94,0.94,0.94,1.11,0.15,1.26,1.11,1.26 
28,Julie Blakstad,no NOR,"DF,MF",Manchester City,21,2001,4,1,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,3,11,8,0,0,0,0,0,0.13,0.04,0.17,0.13,0.17 
29,Laura Blindkilde,eng ENG,MF,Aston Villa,19,2003,9,8,631,7,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,5,19,36,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08 
30,Laura Blindkilde,eng ENG,MF,Manchester City,19,2003,6,0,165,1.8,1,0,1,1,0,0,0,0,1.7,1.7,0.3,1.9,2,9,12,0.55,0,0.55,0.55,0.55,0.91,0.14,1.06,0.91,1.06 
31,Hannah Blundell,eng ENG,DF,Manchester Utd,29,1994,22,21,"1,872",20.8,1,2,3,1,0,0,2,0,0.5,0.5,0.8,1.3,24,128,58,0.05,0.1,0.14,0.05,0.14,0.03,0.04,0.06,0.03,0.06 
32,Missy Bo Kearns,eng ENG,"MF,FW",Liverpool,22,2001,20,9,914,10.2,1,1,2,1,0,0,3,0,1.8,1.8,2.1,3.9,10,25,64,0.1,0.1,0.2,0.1,0.2,0.18,0.21,0.39,0.18,0.39 
33,Gemma Bonner,eng ENG,DF,Liverpool,32,1991,20,19,"1,623",18,2,1,3,2,0,0,7,0,1,1,0.6,1.5,3,48,2,0.11,0.06,0.17,0.11,0.17,0.05,0.03,0.09,0.05,0.09 
34,CJ Bott,nz NZL,DF,Leicester City,28,1995,20,14,"1,316",14.6,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,33,69,27,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03 
35,Ellie Brazil,eng ENG,"FW,MF",Tottenham,24,1999,3,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,3,2,7,0,0,0,0,0,0.18,0,0.18,0.18,0.18 
36,Pauline Bremer,de GER,"FW,MF",Brighton,27,1996,16,14,"1,201",13.3,2,2,4,2,0,0,0,0,1.5,1.5,2,3.4,36,28,103,0.15,0.15,0.3,0.15,0.3,0.11,0.15,0.26,0.11,0.26 
37,Millie Bright,eng ENG,DF,Chelsea,29,1993,10,10,864,9.6,1,0,1,1,0,0,0,0,1.5,1.5,1,2.5,2,52,1,0.1,0,0.1,0.1,0.1,0.15,0.1,0.26,0.15,0.26 
38,Courtney Brosnan,ie IRL,GK,Everton,27,1995,20,20,"1,800",20,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0 
39,Kadeisha Buchanan,ca CAN,DF,Chelsea,27,1995,7,5,449,5,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,0,15,2,0.2,0,0.2,0.2,0.2,0.05,0.01,0.06,0.05,0.06 
40,Luana Bühler,ch SUI,DF,Tottenham,27,1996,16,16,"1,265",14.1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,26,1,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03 
41,Jasmine Bull,eng ENG,"DF,MF",Bristol City,20,2002,9,3,334,3.7,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,0,0,0,0,0,0,0,0,0 
42,Hannah Cain,wls WAL,"FW,MF",Leicester City,24,1999,8,4,452,5,0,2,2,0,0,0,2,0,0.1,0.1,1.1,1.2,16,8,32,0,0.4,0.4,0,0.4,0.03,0.22,0.25,0.03,0.25 
43,Megan Campbell,ie IRL,"MF,DF",Everton,30,1993,6,0,80,0.9,0,0,0,0,0,0,1,0,0,0,0.4,0.5,2,3,1,0,0,0,0,0,0.03,0.48,0.51,0.03,0.51 
44,Jelena Čanković,rs SRB,"MF,FW",Chelsea,27,1995,9,3,334,3.7,0,2,2,0,0,0,1,0,0.6,0.6,1,1.7,5,43,15,0,0.54,0.54,0,0.54,0.18,0.27,0.45,0.18,0.45 
45,Jorelyn Carabalí,co COL,DF,Brighton,26,1997,13,11,973,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0,0.5,6,19,8,0,0,0,0,0,0.04,0,0.05,0.04,0.05 
46,Jess Carter,eng ENG,DF,Chelsea,25,1997,21,19,"1,723",19.1,0,1,1,0,0,0,2,0,0.5,0.5,0.9,1.4,12,92,5,0,0.05,0.05,0,0.05,0.02,0.05,0.07,0.02,0.07 
47,Kerstin Casparij,nl NED,DF,Manchester City,22,2000,18,11,"1,053",11.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,33,72,58,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03 
48,Deyna Castellanos,ve VEN,"MF,FW",Manchester City,24,1999,5,1,142,1.6,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,5,13,11,0,0,0,0,0,0.19,0.17,0.36,0.19,0.36 
49,Steph Catley,au AUS,DF,Arsenal,29,1994,22,17,"1,540",17.1,1,3,4,1,0,0,0,0,1,1,2.6,3.5,26,117,84,0.06,0.18,0.23,0.06,0.23,0.06,0.15,0.21,0.06,0.21 
50,Janice Cayman,be BEL,"DF,MF",Leicester City,34,1988,21,20,"1,729",19.2,4,0,4,4,0,0,2,0,2.2,2.2,1,3.2,8,80,45,0.21,0,0.21,0.21,0.21,0.11,0.05,0.16,0.11,0.16 
51,Niamh Charles,eng ENG,"DF,MF",Chelsea,24,1999,22,22,"1,890",21,2,7,9,2,0,0,3,1,1.9,1.9,5,6.9,80,167,146,0.1,0.33,0.43,0.1,0.43,0.09,0.24,0.33,0.09,0.33 
52,Hawa Cissoko,fr FRA,DF,West Ham,26,1997,20,19,"1,620",18,1,0,1,1,0,0,8,1,0.5,0.5,0.3,0.9,14,43,7,0.06,0,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05 
53,Jenna Clark,sct SCO,DF,Liverpool,21,2001,21,18,"1,656",18.4,1,0,1,1,0,0,2,0,1.1,1.1,0.2,1.3,6,53,2,0.05,0,0.05,0.05,0.05,0.06,0.01,0.07,0.06,0.07 
54,Olivia Clark,wls WAL,GK,Bristol City,21,2001,7,6,584,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
55,Grace Clinton,eng ENG,"MF,FW",Tottenham,20,2003,20,20,"1,627",18.1,4,4,8,4,0,0,3,0,2.3,2.3,3.3,5.6,60,96,109,0.22,0.22,0.44,0.22,0.44,0.13,0.18,0.31,0.13,0.31 
56,Laia Codina,es ESP,DF,Arsenal,23,2000,8,5,451,5,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,2,25,2,0,0,0,0,0,0.06,0,0.06,0.06,0.06 
57,Megan Connolly,ie IRL,"DF,MF",Bristol City,26,1997,22,22,"1,930",21.4,1,1,2,1,0,0,3,0,0.2,0.2,0.8,1,3,34,6,0.05,0.05,0.09,0.05,0.09,0.01,0.04,0.05,0.01,0.05 
58,Shannon Cooke,eng ENG,DF,West Ham,23,2000,19,8,826,9.2,1,0,1,1,0,0,2,0,0.4,0.4,0,0.4,4,31,5,0.11,0,0.11,0.11,0.11,0.04,0,0.04,0.04,0.04 
59,Laura Coombs,eng ENG,MF,Manchester City,32,1991,17,14,"1,030",11.4,3,2,5,3,0,0,1,0,3.3,3.3,0.8,4.1,12,41,70,0.26,0.17,0.44,0.26,0.44,0.29,0.07,0.35,0.29,0.35 
60,Kyra Cooney-Cross,au AUS,MF,Arsenal,21,2002,14,5,547,6.1,0,2,2,0,0,0,1,0,0.2,0.2,0.8,1.1,11,41,9,0,0.33,0.33,0,0.33,0.04,0.14,0.18,0.04,0.18 
61,Rachel Corsie,sct SCO,"DF,MF",Aston Villa,33,1989,21,16,"1,489",16.5,0,2,2,0,0,0,5,0,1.4,1.4,1,2.4,2,70,8,0,0.12,0.12,0,0.12,0.08,0.06,0.15,0.08,0.15 
62,Erin Cuthbert,sct SCO,MF,Chelsea,25,1998,20,17,"1,477",16.4,4,2,6,4,0,0,1,0,3.1,3.1,2.5,5.6,20,97,42,0.24,0.12,0.37,0.24,0.37,0.19,0.15,0.34,0.19,0.34 
63,Sabrina D'Angelo,ca CAN,GK,Arsenal,30,1993,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
64,Eleanor Dale,eng ENG,"FW,MF",Everton,21,2002,6,0,74,0.8,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.3,0,2,7,0,1.22,1.22,0,1.22,0.22,0.2,0.42,0.22,0.42 
65,Kenza Dali,fr FRA,"MF,FW",Aston Villa,32,1991,17,16,"1,423",15.8,1,2,3,1,0,0,1,0,1.2,1.2,3.3,4.5,56,111,93,0.06,0.13,0.19,0.06,0.19,0.08,0.21,0.29,0.08,0.29 
66,Rachel Daly,eng ENG,FW,Aston Villa,31,1991,20,20,"1,798",20,8,0,8,6,2,2,3,0,7.8,6.2,1.1,7.2,17,53,91,0.4,0,0.4,0.3,0.3,0.39,0.05,0.44,0.31,0.36 
67,Yana Daniels,be BEL,"FW,DF",Liverpool,31,1992,12,2,312,3.5,0,1,1,0,0,0,3,0,0.3,0.3,0.2,0.5,3,13,6,0,0.29,0.29,0,0.29,0.08,0.07,0.15,0.08,0.15 
68,Lily Dent,eng ENG,"MF,FW",Brighton,16,2006,3,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0 
69,Anouk Denton,eng ENG,"DF,MF",West Ham,20,2003,15,12,"1,042",11.6,0,0,0,0,0,0,1,0,0.2,0.2,1.1,1.3,18,25,25,0,0,0,0,0,0.01,0.1,0.11,0.01,0.11 
70,Daphne van Domselaar,nl NED,GK,Aston Villa,23,2000,14,14,"1,260",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
71,Denny Draper,eng ENG,"FW,MF",Leicester City,,,4,0,21,0.2,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,1,1,2,4.29,0,4.29,4.29,4.29,1.65,0.86,2.51,1.65,2.51 
72,Toni Duggan,eng ENG,FW,Everton,32,1991,10,1,209,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,6,12,0,0,0,0,0,0.08,0.07,0.15,0.08,0.15 
73,Mary Earps,eng ENG,GK,Manchester Utd,30,1993,22,22,"1,980",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
74,Mia Enderby,eng ENG,FW,Liverpool,18,2005,14,6,557,6.2,0,1,1,0,0,0,2,0,1,1,0.8,1.8,15,7,45,0,0.16,0.16,0,0.16,0.16,0.13,0.29,0.16,0.29 
75,Bethany England,eng ENG,FW,Tottenham,29,1994,14,12,"1,010",11.2,5,0,5,5,0,0,0,0,4.9,4.9,0.4,5.3,13,23,68,0.45,0,0.45,0.45,0.45,0.43,0.04,0.47,0.43,0.47 
76,Gemma Evans,wls WAL,DF,Manchester Utd,26,1996,12,4,438,4.9,0,1,1,0,0,0,1,0,0,0,0.7,0.7,2,19,6,0,0.21,0.21,0,0.21,0,0.15,0.15,0,0.15 
77,Lisa Evans,sct SCO,"FW,MF",Bristol City,31,1992,9,3,344,3.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,8,7,19,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1 
78,Lisa Evans,sct SCO,"MF,DF",West Ham,31,1992,9,8,718,8,1,1,2,1,0,0,1,0,0.2,0.2,1.4,1.6,23,26,60,0.13,0.13,0.25,0.13,0.25,0.03,0.17,0.2,0.03,0.2 
79,Nicky Evrard,be BEL,GK,Brighton,28,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
80,Niamh Fahey,ie IRL,DF,Liverpool,35,1987,8,6,524,5.8,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.6,3,9,3,0,0.17,0.17,0,0.17,0.04,0.05,0.1,0.04,0.1 
81,Melisa Filis,eng ENG,MF,West Ham,21,2002,9,2,345,3.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,0,14,9,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08 
82,Megan Finnigan,eng ENG,DF,Everton,25,1998,21,21,"1,890",21,3,0,3,3,0,0,3,0,0.8,0.8,0.6,1.3,1,28,4,0.14,0,0.14,0.14,0.14,0.04,0.03,0.06,0.04,0.06 
83,Mia Fishel,us USA,FW,Chelsea,22,2001,10,4,341,3.8,1,1,2,1,0,0,0,0,1.4,1.4,1.6,2.9,8,7,41,0.26,0.26,0.53,0.26,0.53,0.36,0.41,0.77,0.36,0.77 
84,Grace Fisk,eng ENG,DF,Liverpool,25,1998,22,22,"1,935",21.5,1,1,2,1,0,0,3,0,0.5,0.5,0.6,1.2,20,94,20,0.05,0.05,0.09,0.05,0.09,0.03,0.03,0.06,0.03,0.06 
85,Keira Flannery,eng ENG,MF,West Ham,17,2005,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0 
86,Jessie Fleming,ca CAN,"MF,FW",Chelsea,25,1998,10,4,402,4.5,1,3,4,1,0,0,1,0,1.8,1.8,1.9,3.7,13,22,19,0.22,0.67,0.9,0.22,0.9,0.39,0.43,0.82,0.39,0.82 
87,Natasha Flint,eng ENG,"FW,DF",Liverpool,26,1996,6,2,223,2.5,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,2,3,19,0.4,0,0.4,0.4,0.4,0.13,0.01,0.14,0.13,0.14 
88,Caitlin Foord,au AUS,FW,Arsenal,28,1994,22,18,"1,564",17.4,4,4,8,4,0,0,4,0,5.2,5.2,3.2,8.3,69,69,271,0.23,0.23,0.46,0.23,0.46,0.3,0.18,0.48,0.3,0.48 
89,Mary Fowler,au AUS,"FW,MF",Manchester City,20,2003,21,13,"1,174",13,4,6,10,4,0,0,0,0,2.5,2.5,5.5,7.9,39,63,162,0.31,0.46,0.77,0.31,0.77,0.19,0.42,0.61,0.19,0.61 
90,Emily Fox,us USA,DF,Arsenal,25,1998,10,9,793,8.8,0,2,2,0,0,0,0,0,0.6,0.6,2,2.6,27,88,60,0,0.23,0.23,0,0.23,0.07,0.22,0.29,0.07,0.29 
91,Rachel Furness,nir NIR,MF,Bristol City,35,1988,10,7,565,6.3,1,1,2,1,0,0,2,0,0.3,0.3,0.1,0.4,4,15,5,0.16,0.16,0.32,0.16,0.32,0.05,0.02,0.07,0.05,0.07 
92,Aurora Galli,it ITA,"MF,DF",Everton,26,1996,19,19,"1,554",17.3,3,2,5,2,1,1,2,0,1.5,0.7,0.7,1.4,16,52,24,0.17,0.12,0.29,0.12,0.23,0.09,0.04,0.13,0.04,0.08 
93,Leah Galton,eng ENG,"FW,DF",Manchester Utd,29,1994,18,13,"1,253",13.9,2,2,4,2,0,0,0,0,3.2,3.2,1.1,4.3,23,36,126,0.14,0.14,0.29,0.14,0.29,0.23,0.08,0.31,0.23,0.31 
94,Lucía García,es ESP,FW,Manchester Utd,25,1998,22,13,"1,237",13.7,3,2,5,3,0,0,3,0,4.2,4.2,1.9,6.1,41,31,153,0.22,0.15,0.36,0.22,0.36,0.31,0.13,0.44,0.31,0.44 
95,Gabrielle George,eng ENG,DF,Manchester Utd,26,1997,3,3,188,2.1,0,1,1,0,0,0,0,0,0.1,0.1,1,1,7,8,8,0,0.48,0.48,0,0.48,0.03,0.47,0.5,0.03,0.5 
96,Lee Geum-min,kr KOR,"FW,MF",Brighton,29,1994,20,7,837,9.3,2,1,3,2,0,0,3,0,1.1,1.1,0.9,2,10,35,60,0.22,0.11,0.32,0.22,0.32,0.12,0.1,0.21,0.12,0.21 
97,Geyse,br BRA,FW,Manchester Utd,25,1998,19,13,"1,114",12.4,1,2,3,1,0,0,2,0,3.4,3.4,1.6,5,83,28,110,0.08,0.16,0.24,0.08,0.24,0.27,0.13,0.4,0.27,0.4 
98,Missy Goodwin,eng ENG,"FW,MF",Leicester City,20,2003,17,8,701,7.8,1,0,1,1,0,0,0,0,0.9,0.9,1.1,2,16,16,52,0.13,0,0.13,0.13,0.13,0.12,0.14,0.26,0.12,0.26 
99,Katrina Gorry,au AUS,MF,West Ham,30,1992,7,7,542,6,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.7,11,28,14,0,0,0,0,0,0.07,0.04,0.11,0.07,0.11 
